rank,score,year,tags,query,title,venue,doi,url,type,abstract
1,9,2026,,vision language action robotics,10 Open Challenges Steering the Future of Vision-Language-Action Models,Proceedings of the AAAI Conference on Artificial Intelligence,10.1609/aaai.v40i46.41333,https://doi.org/10.1609/aaai.v40i46.41333,journal-article,"<jats:p>Due to their ability of follow natural language
instructions,
vision-language-action (VLA) models are increasingly preva-
lent in the embodied AI arena, following the widespread suc-
cess of their precursors—LLMs and VLMs. In this paper,
we discuss 10 principal milestones in the ongoing develop-
ment of VLA models—multimodality, reasoning, data, eval-
uation, cross-robkot action generalization, efficiency,
whole-
body coordination, safety, agents, and coordination with hu-
mans. Furtherm"
2,9,2026,,vision language action robotics,ActionX: pre-training action experts with reinforcement learning for vision-language action models,Frontiers in Neurorobotics,10.3389/fnbot.2026.1806605,https://doi.org/10.3389/fnbot.2026.1806605,journal-article,"<jats:p>Vision-Language Action (VLA) models have enabled language-driven robotic manipulation by integrating language instructions, visual perception, and action generation. However, existing VLA approaches heavily rely on large-scale human demonstration datasets, which leads to substantial data collection and training costs. To address this, we propose ActionX, a pretraining framework that learns Action eXperts using reinforcement learning while leveraging a frozen, pretrained Vision-Language M"
3,9,2026,,vision language action robotics,DexGraspVLA: A Vision-Language-Action Framework Towards General Dexterous Grasping,Proceedings of the AAAI Conference on Artificial Intelligence,10.1609/aaai.v40i22.38953,https://doi.org/10.1609/aaai.v40i22.38953,journal-article,"<jats:p>Dexterous grasping remains a fundamental yet challenging problem in robotics. A general-purpose robot must be capable of grasping diverse objects in arbitrary scenarios. However, existing research typically relies on restrictive assumptions, such as single-object settings or limited environments, showing constrained generalization. We present DexGraspVLA, a hierarchical framework for robust generalization in language-guided general dexterous grasping and beyond. It utilizes a pre-trained"
4,9,2026,,embodied intelligence scaling,Multi-Scaling Laws for Embodied Intelligence: A Conjecture on Nested Power-Law Relationships in Dexterous Manipulation,,10.36227/techrxiv.176857966.68601161/v1,https://doi.org/10.36227/techrxiv.176857966.68601161/v1,posted-content,
5,9,2025,,contact-rich manipulation,Co-Training Multimodal World Models and Diffusion-Guided Policies for Zero-Shot Contact- Rich Manipulation,,10.21203/rs.3.rs-7347334/v1,https://doi.org/10.21203/rs.3.rs-7347334/v1,posted-content,"<title>Abstract</title>
        <p>This study presents <bold>MWM‑DD</bold> (Multimodal World Model–Diffusion Decision), a unified control architecture that couples: (i) a vision–tactile–proprioceptive encoder aligned in a shared predictive latent; (ii) a Transformer‑VAE world model that captures latent dynamics and rewards; and (iii) a constraint‑ and value‑guided <bold>diffusion decision</bold> module realized as a receding‑horizon controller. The system is trained end‑to‑end using reconstructi"
6,9,2025,,vision language action robotics,Integrating Motion Planning in Vision Language Action Agents,Applied and Computational Engineering,10.54254/2755-2721/2025.ast27134,https://doi.org/10.54254/2755-2721/2025.ast27134,journal-article,"<jats:p>Vision-Language-Action (VLA) models integrate visual perception, natural language understanding, and embodied control into a unified framework, enabling end-to-end task execution from multimodal instructions. While such models have demonstrated impressive generalization across tasks and environments, their direct outputs—often in the form of discrete action tokens or waypoint sequences—frequently overlook key physical constraints, such as trajectory feasibility, collision avoidance, and "
7,9,2025,,vision language action robotics,Vision-Language-Action Models for Robotics: A Review Towards Real-World Applications,,10.36227/techrxiv.175502755.53627529/v1,https://doi.org/10.36227/techrxiv.175502755.53627529/v1,posted-content,"<jats:p>Amid growing efforts to leverage advances in large language models (LLMs) and vision-language models (VLMs) for robotics, Vision-Language-Action (VLA) models have recently gained significant attention. By unifying vision, language, and action data at scale, which have traditionally been studied separately, VLA models aim to learn policies that generalise across diverse tasks, objects, embodiments, and environments. This generalisation capability is expected to enable robots to solve nove"
8,8,2020,,sim-to-real robotics,Blind Spot Detection for Safe Sim-to-Real Transfer,Journal of Artificial Intelligence Research,10.1613/jair.1.11436,https://doi.org/10.1613/jair.1.11436,journal-article,"<jats:p>Agents trained in simulation may make errors when performing actions in the real world due to mismatches between training and execution environments. These mistakes can be dangerous and difficult for the agent to discover because the agent is unable to predict them a priori. In this work, we propose the use of oracle feedback to learn a predictive model of these blind spots in order to reduce costly errors in real-world applications. We focus on blind spots in reinforcement learning (RL)"
9,7,2026,,contact-rich manipulation,"A generic task model and control strategy to support learning, robust control, and generalization of contact-rich manipulation tasks",Robotics and Autonomous Systems,10.1016/j.robot.2025.105270,https://doi.org/10.1016/j.robot.2025.105270,journal-article,
10,7,2026,,vision language action robotics,Data-Driven Robotics: Vision–Language–Action Learning for Robust Manipulation and Autonomy,,10.62311/nesx/rb-978-81-999716-2-2,https://doi.org/10.62311/nesx/rb-978-81-999716-2-2,reference-book,"<jats:p>Abstract:
This manuscript develops a rigorous academic framework for data-driven robotics with particular emphasis on vision-language-action learning for robust manipulation and autonomy. It brings together foundations of embodied intelligence, uncertainty management, statistical explanation, causal inference, machine learning, scalable analytics engineering, and governance-oriented deployment design. The book argues that reliable autonomy emerges not from isolated model performance, but"
11,7,2026,,embodied intelligence scaling,"Development is (embodied) intelligence - Biological information, agency, and contextuality",IOP Conference Series: Materials Science and Engineering,10.1088/1757-899x/1343/1/012008,https://doi.org/10.1088/1757-899x/1343/1/012008,journal-article,"<jats:title>Abstract</jats:title>
                  <jats:p>We argue that development is not the outcome of genetic instructions or dynamics, but of biological agency embedded in a multi-scale coordination architecture characteristic of living systems. We outline the lack of a plausible mechanism by which semantic content about the phenotype could be encoded in, or retrieved from, the genotype or its patterns of expression per se, requiring the existence of some other process to govern developme"
12,7,2026,,sim-to-real robotics,Dual-robot Engine Assembly via Sim-to-Real Reinforcement Learning,"2026 6th International Conference on Neural Networks, Information and Communication Engineering (NNICE)",10.1109/nnice68970.2026.11465621,https://doi.org/10.1109/nnice68970.2026.11465621,proceedings-article,
13,7,2026,,robot foundation model,ECG-Image-FM:ECG Image Foundation Model,,10.2139/ssrn.6583480,https://doi.org/10.2139/ssrn.6583480,posted-content,"<jats:p>BackgroundAlthough large-scale electrocardiogram (ECG) foundation models have advanced digital signal analysis, their application to clinically prevalent image-format records remains limited due to the modality gap between digital waveforms and visual representations.ObjectivesThis study sought to develop and evaluate ECG-Image-FM (Electrocardiogram Image Foundation Model), a cross-modal self-supervised framework designed to interpret ECGs directly from image-format data by transferring "
14,7,2026,,vision language action robotics,EVALUATING GENERALIZATION CAPABILITIES OF VISION-LANGUAGE-ACTION MODELS IN ROBOTIC AGENTS,European Open Science Space,10.70286/eoss-25.05.2026.027.733-736,https://doi.org/10.70286/eoss-25.05.2026.027.733-736,journal-article,"<jats:p>This work analyzes the generalization capabilities of modern Vision-Language-
Action models for robotic agents. The work compares several current approaches and
discusses their ability to connect visual perception, language instructions, and action
generation. The results show that VLA models are a promising direction for openworld
robotics, but their robustness and adaptability in complex or unseen
environments remain limited.</jats:p>"
15,7,2026,,robot policy foundation model,Foundation Models as Decision Priors in Robotics: World-Model vs Policy Prior,Journal of Intelligence and Knowledge Engineering,10.62517/jike.202604126,https://doi.org/10.62517/jike.202604126,journal-article,"<jats:p>We survey how foundation models (FMs) act as decision priors in robot autonomy, contrasting world-model priors with policy priors across verifiability, constraint handling, latency, planning horizon, and out-of-distribution robustness. We formalize non-interchangeability boundaries, propose integration patterns (hierarchical, dynamic switching, blended control, human-in-the-loop, iterative co-evolution), and outline a benchmarking protocol together with deployment governance checklists. "
16,7,2026,,embodied intelligence scaling,Microstructure engineering for tactile-enabled embodied intelligence,Materials Horizons,10.1039/d5mh01906k,https://doi.org/10.1039/d5mh01906k,journal-article,"<jats:p>Microstructure engineering empowers flexible pressure sensors with enhanced performance, enabling tactile perception for embodied intelligence applications.</jats:p>"
17,7,2026,,robot foundation model,MiMo-Embodied: X-Embodied Foundation Model,,10.21203/rs.3.rs-8493355/v1,https://doi.org/10.21203/rs.3.rs-8493355/v1,posted-content,"<title>Abstract</title>
                <p>MiMo-Embodied is a groundbreaking cross-embodied foundation model that integrates indoor robotics and outdoor autonomous driving in one model, effectively addressing the historical ''domain gap'' that has siloed Embodied AI and driving systems. The model achieves state-of-the-art performance across 29 benchmarks, comprising 17 tasks in Embodied AI (including  task planning, affordance prediction and spatial understanding) and 12 in autonomous driving (s"
18,7,2026,,robot world model,Multi-modal world model for physical robot interactions: Simultaneous visual and tactile predictions for enhanced accuracy (SPOTS),Robotics and Autonomous Systems,10.1016/j.robot.2026.105512,https://doi.org/10.1016/j.robot.2026.105512,journal-article,
19,7,2026,,multimodal robot learning,Multimodal Contrastive Learning for Zero-Shot Instruction-Following Robot with Synthetic Data,"Engineering, Technology &amp; Applied Science Research",10.48084/etasr.18291,https://doi.org/10.48084/etasr.18291,journal-article,"<jats:p>Robot trajectory prediction is heavily dependent on large-scale real-world demonstrations, which limit scalability, increase data acquisition costs, and eventually prevent zero-shot generalization. To address this limitation, this paper introduces Zero-Shot Task Learning (ZSTL), a multimodal framework that uses structurally aligned synthetic data and contrastive learning to enable instruction-based trajectory generation without reliance on real-world demonstrations. ZSTL jointly encodes "
20,7,2026,,sim-to-real robotics,NeuralTouch: Neural Descriptors for Precise Sim-to-Real Tactile Robot Control,IEEE/ASME Transactions on Mechatronics,10.1109/tmech.2026.3687919,https://doi.org/10.1109/tmech.2026.3687919,journal-article,
21,7,2026,,robot foundation model,Physics-informed embodied intelligence in the foundation model era: Advancing robot manipulation for smart manufacturing,Advanced Engineering Informatics,10.1016/j.aei.2026.104370,https://doi.org/10.1016/j.aei.2026.104370,journal-article,
22,7,2026,,vision language action robotics,Safety of Vision-Language-Action Models: A Survey from Lifecycle Perspectives,,10.22541/au.177524426.60806944/v1,https://doi.org/10.22541/au.177524426.60806944/v1,posted-content,"<jats:p>Vision-Language-Action (VLA) models have recently emerged as a promising paradigm for embodied intelligence, enabling robots to perform complex actions over multimodal observations with one end-to-end policy. With the increasing deployment of VLA models in real-world environments, ensuring their safety has become critical, as failures or malicious behaviors can result in severe physical harm and far-reaching societal consequences. Despite the growing body of research on VLA safety, exist"
23,7,2026,,vision language action robotics,Scaling Vision–Language–Action Policy Adaptation via Action-Conditioned World Models,2026 12th International Conference on Mechatronics and Robotics Engineering (ICMRE),10.1109/icmre69538.2026.11533985,https://doi.org/10.1109/icmre69538.2026.11533985,proceedings-article,
24,7,2026,,sim-to-real robotics,SKYWALKER: Dual-Agent Reinforcement Learning for Autonomous Crawling in a Planar Microgravity Analog : Sim-to-Real Evaluation at ESA’s Orbital Robotics Lab,2026 IEEE Conference on Artificial Intelligence (CAI),10.1109/cai68641.2026.11536641,https://doi.org/10.1109/cai68641.2026.11536641,proceedings-article,
25,7,2026,,robot foundation model,Teaching the Teacher: Live Foundation Model and Augmented Reality Feedback for Human-to-Robot Skill Transfer,Proceedings of the 21st ACM/IEEE International Conference on Human-Robot Interaction,10.1145/3757279.3788667,https://doi.org/10.1145/3757279.3788667,proceedings-article,
26,7,2026,,embodied intelligence scaling,Three‐Dimensional Garment Architectures for Tactile Embodied Intelligence,Advanced Materials,10.1002/adma.73410,https://doi.org/10.1002/adma.73410,journal-article,"<jats:title>ABSTRACT</jats:title>
                  <jats:p>
                    Sensory‐neuromorphic computing endows wearable devices with capabilities of environmental perception and active service, acting as a pivotal driver for the revolution in human–computer interaction. However, its implementation in textile electronics is hampered by incompatibility between conventional electronic device structures and the fabric‐woven manufacturing methodology. Here, we demonstrate a tactile‐neuromorph"
27,7,2026,,multimodal robot learning,"Unlocking the Power of Large Multimodal Models for Robot Learning: Robustness, Generalization, and Opportunities",Proceedings of the AAAI Conference on Artificial Intelligence,10.1609/aaai.v40i47.41343,https://doi.org/10.1609/aaai.v40i47.41343,journal-article,"<jats:p>Large multimodal models (LMMs) have revolutionized AI by
demonstrating remarkable capabilities in vision, language,
audio, and other domains, particularly in understanding and
generalization tasks. Yet, moving beyond passive
understanding to active interaction requires embodied
agents, such as robots, that can harness the capabilities
of AI models to act within the physical world. My core
research aims to build embodied agents that reason about
and interact with the physical world with h"
28,7,2026,,vision language action robotics,Vision-Language-Action (VLA) Models for Unmanned Aerial Robotics and Bimanual Manipulation: A Review,,10.20944/preprints202604.0664.v1,https://doi.org/10.20944/preprints202604.0664.v1,posted-content,"<jats:p>Vision-Language-Action (VLA) models unify visual perception, natural-language understanding, and action generation within a single foundation model, allowing a robot to follow instructions such as “fold the towel” or “fly to the red building” directly from camera images. Because VLAs inherit world knowledge from internet-scale pre-training, they have become the dominant framework for learning-based manipulation, with bimanual coordination serving as the most demanding testbed: two arms w"
29,7,2026,,vision language action robotics,Vision–Language–Action (VLA) Models for Unmanned Aerial Robotics and Bimanual Manipulation: A Review,Drones,10.3390/drones10060412,https://doi.org/10.3390/drones10060412,journal-article,"<jats:p>Vision–Language–Action (VLA) models unify visual perception, natural-language understanding, and action generation within a single foundation model, allowing a robot to follow instructions such as “fold the towel” or “fly to the red building” directly from camera images. Because VLAs inherit world knowledge from internet-scale pre-training, they have become the dominant framework for learning-based manipulation, with bimanual coordination serving as the most demanding testbed: two arms w"
30,7,2026,,robot tactile perception,Visual-tactile perception for a biomimetic robot in constrained environments,Bioinspiration &amp; Biomimetics,10.1088/1748-3190/ae224d,https://doi.org/10.1088/1748-3190/ae224d,journal-article,"<jats:title>Abstract</jats:title>
                  <jats:p>Environmental perception is a crucial foundation for enhancing the application potential of biomimetic robots. Motivated by the complementary roles of visual and tactile sensing observed in rats, this work proposes a visual-tactile perception for a small-scale bio-inspired robotic rat. The method leverages binocular vision to estimate depth images through an attention-based network and improve perception and localization accuracy by 14."
31,7,2025,,robot foundation model,A foundation model for atomistic materials chemistry,The Journal of Chemical Physics,10.1063/5.0297006,https://doi.org/10.1063/5.0297006,journal-article,"<jats:p>Atomistic simulations of matter, especially those that leverage first-principles (ab initio) electronic structure theory, provide a microscopic view of the world, underpinning much of our understanding of chemistry and materials science. Over the last decade or so, machine-learned force fields have transformed atomistic modeling by enabling simulations of ab initio quality over unprecedented time and length scales. However, early machine-learning (ML) force fields have largely been limit"
32,7,2025,,robot foundation model,An EMG Foundation Model for Neural Decoding,,10.64898/2025.12.17.694831,https://doi.org/10.64898/2025.12.17.694831,posted-content,"<jats:title>Abstract</jats:title>
                <jats:p>Decoding algorithms can be used to predict motor behaviour from patterns of neural activity. However, most studies rely on subject-optimized models, limiting generalization and scalability to novel subjects and tasks. Building on recent advances in deep learning and large-scale data, here we developed an EMG foundation model for neural decoding. Our model was trained on more than 197 hours of neural recordings from 1,667 subjects. We used"
33,7,2025,,robot tactile perception,An Integrated Monolithic Synaptic Device for C-Tactile Afferent Perception and Robot Emotional Interaction,Cyborg and Bionic Systems,10.34133/cbsystems.0367,https://doi.org/10.34133/cbsystems.0367,journal-article,"<jats:p>C-tactile afferents are low-threshold mechanoreceptors that innervate the hairy skin of mammals, essential for emotional interactions. Replication of such a mechanism could facilitate emotional interactions between humans and embodied intelligence robotic systems. Herein, we demonstrate a monolithic synaptic device that replicates and integrates tactile sensing and neuromorphic processing functions for in-sensor computing. The device is operable by both mechanical and electrical inputs, "
34,7,2025,,embodied intelligence scaling,Constrained chronotopic agency and embodied scaling in Zelensky’s wartime speeches,Language and Semiotic Studies,10.1515/lass-2025-0037,https://doi.org/10.1515/lass-2025-0037,journal-article,"<jats:title>Abstract</jats:title>
                  <jats:p>
                    This study examines how Ukrainian President Volodymyr Zelensky’s wartime speeches (2022–2024) strategically mobilize chronotopes and scalar configurations to construct political legitimacy, forge transnational alliances, and choreograph diplomatic action under geopolitical duress. Synergizing linguistic anthropology, narrative theory, and multimodal discourse analysis, it introduces two original concepts, namely
   "
35,7,2025,,embodied intelligence scaling,Digital genealogy: empowering industrial embodied intelligence world model,SCIENTIA SINICA Informationis,10.1360/ssi-2025-0093,https://doi.org/10.1360/ssi-2025-0093,journal-article,
36,7,2025,,vision language action robotics,Dita: Scaling Diffusion Transformer for Generalist Vision-Language-Action Policy,2025 IEEE/CVF International Conference on Computer Vision (ICCV),10.1109/iccv51701.2025.00721,https://doi.org/10.1109/iccv51701.2025.00721,proceedings-article,
37,7,2025,,embodied intelligence scaling,Dynamic wind-up locomotion enabled by embodied intelligence,The International Journal of Robotics Research,10.1177/02783649251360814,https://doi.org/10.1177/02783649251360814,journal-article,"<jats:p>Repetitive subtasks of locomotion are offloaded from a conventional computer-actuator-sensor set-up to automatic mechanical processes. The subtasks considered are: (1) when out-of-contact with the environment, move a leg to a ready position in preparation for step contact, and (2) when contact is detected, push off the ground. Using conventional closed-loop control, subtask (1) would be accomplished by programming logic and a feedback loop onto a computer-motor-encoder system, and subtas"
38,7,2025,,embodied intelligence scaling,Embodied intelligence for robot manipulation: development and challenges,Vicinagearth,10.1007/s44336-025-00020-1,https://doi.org/10.1007/s44336-025-00020-1,journal-article,"<jats:title>Abstract</jats:title>
                  <jats:p>Embodied intelligence is regarded as a key pathway to achieving artificial general intelligence (AGI) due to its ability to enable direct interaction between digital information and the physical environment. With the development of artificial intelligence (AI) technology, embodied intelligence has demonstrated strong capabilities in perception, reasoning, and generalization within real-world environments, driving the transformation of A"
39,7,2025,,embodied intelligence scaling,Embodied Intelligence Platform for Materials Synthesis,,10.21203/rs.3.rs-7161987/v1,https://doi.org/10.21203/rs.3.rs-7161987/v1,posted-content,"<title>Abstract</title>
                <p>Artificial intelligence (AI) experimental systems demonstrate marked improvements in material research efficiency.  However, challenges in generalization capabilities and experimental operations remain to be addressed.  Here, a flexible Embodied Intelligence (EI) platform comprising a home-made EI robot and modular experimental components is designed and demonstrated to overcome these hurdles.  The remotely trained EI robot generated action libraries en"
40,7,2025,,sim-to-real robotics,EmbodiedSplat: Personalized Real-To-Sim-To-Real Navigation with Gaussian Splats From a Mobile Device,2025 IEEE/CVF International Conference on Computer Vision (ICCV),10.1109/iccv51701.2025.02359,https://doi.org/10.1109/iccv51701.2025.02359,proceedings-article,
41,7,2025,,embodied intelligence scaling,EQA-RM: A Generative Embodied Reward Model with Test-time Scaling,Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing,10.18653/v1/2025.emnlp-main.48,https://doi.org/10.18653/v1/2025.emnlp-main.48,proceedings-article,
42,7,2025,,vision language action robotics,Foundation Models for Construction Robotics: Transfer Learning and Vision-Language-Action Integration,International Journal of Scientific Research in Engineering and Management,10.55041/ijsrem54814,https://doi.org/10.55041/ijsrem54814,journal-article,"<jats:p>Abstract: This paper investigates the adaptation of pre-trained robotics foundation models, specifically RT-2 and PaLM-E, for construction automation applications. This research explores transfer learning methodologies across diverse construction tasks, develop vision-language-action (VLA) frameworks for instructable construction robots, implement few-shot learning approaches for rapid adaptation to novel operations, and design generalist robot policies capable of multi-task construction"
43,7,2025,,embodiment generalization robotics,GET-Zero: Graph Embodiment Transformer for Zero-Shot Embodiment Generalization,2025 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra55743.2025.11127922,https://doi.org/10.1109/icra55743.2025.11127922,proceedings-article,
44,7,2025,,contact-rich manipulation,Human-assisted reinforcement learning and dynamic force patterns in contact-rich manipulation for robotic disassembly,Industrial Robot: the international journal of robotics research and application,10.1108/ir-03-2025-0080,https://doi.org/10.1108/ir-03-2025-0080,journal-article,"<jats:sec>
                    <jats:title>Purpose</jats:title>
                    <jats:p>The escalating rates of material consumption and energy usage, along with resulting waste, pose significant environmental challenges. Circular economy principles, remanufacturing and disassembly strategies emerge as potential solutions to mitigate these impacts. However, disassembly processes face a critical hurdle due to the inherent variability of products. The purpose of this study is to explore the po"
45,7,2025,,robot self-supervised learning,Imperative learning: A self-supervised neuro-symbolic learning framework for robot autonomy,The International Journal of Robotics Research,10.1177/02783649251353181,https://doi.org/10.1177/02783649251353181,journal-article,"<jats:p>Data-driven methods such as reinforcement and imitation learning have achieved remarkable success in robot autonomy. However, their data-centric nature still hinders them from generalizing well to ever-changing environments. Moreover, labeling data for robotic tasks is often impractical and expensive. To overcome these challenges, we introduce a new self-supervised neuro-symbolic (NeSy) computational framework, imperative learning (IL), for robot autonomy, leveraging the generalization a"
46,7,2025,,embodiment generalization robotics,Improving Compositional Generalization in Cross-Embodiment Learning via Mixture of Disentangled Prototypes,Proceedings of the 33rd ACM International Conference on Multimedia,10.1145/3746027.3754499,https://doi.org/10.1145/3746027.3754499,proceedings-article,
