contact,policy,success,utility,representation_error,contact_failure,latency_miss,safety_violation,morphology_loss,bottleneck_share,exception_severity,monotonic_scale_gain,scale_saturation,intervention_recovery,data_efficiency,regime_mismatch,weight
c00,contact_instrumented,0.6602185809146587,0.4595566499782051,0.26816539213939566,0.10238157148084033,0.22035325524822622,0.2230764442072157,0.22883505373747912,0.559899766509959,0.25343598021679187,0.10032493865093058,0.20686297269915305,0.2171398694686308,0.33517317784970574,0.35320636792156546,6794772480
c00,data_scaled_foundation,0.5331309904926297,0.19331449520862296,0.2542930079670706,0.25996632288337546,0.2645255981101558,0.2753261926720647,0.2784526941082921,0.559899766509959,0.4529984179257086,0.0380889224583506,0.34497353580966156,0.025898212378576042,0.31736041678750004,0.5357946767012153,6794772480
c00,embodiment_diverse_scaling,0.597518536650612,0.32604506854847426,0.2475105082491986,0.24351609427577842,0.2517481851337249,0.2600696144801228,0.16020220671599064,0.559899766509959,0.36982015897808074,0.06500321631956076,0.28587206403628457,0.11142739603118196,0.34791379034452347,0.4545544483620676,6794772480
c00,latency_safety_guarded,0.7334277627806772,0.6178520970457205,0.26346015225260205,0.21772364597109692,0.101800288816719,0.0698878516320041,0.23940455500492988,0.559899766509959,0.1779185633592596,0.1312934443388254,0.1378789341675057,0.31242356911113345,0.3421909165807436,0.25658226433271153,6794772480
c00,oracle_bottleneck_router,0.998364482260065,1.0,0.20565780608503265,0.019067520844664256,0.01048837571926655,0.0,0.007979676792281004,0.559899766509959,0.0,0.20181130666668126,0.0,0.6354269700850697,0.4291422568533296,0.0,6794772480
c00,regime_aware_router,0.8868111470139461,0.8911134544471718,0.22974650453270312,0.0985661390611557,0.09434157012470816,0.05967246720702975,0.09485561491264764,0.559899766509959,0.09179637837207391,0.17153267931201055,0.053880492316998804,0.5013834533621687,0.39127860927192515,0.11625010155417698,6794772480
c00,scale_only_foundation,0.52412378660701,0.16809656841373435,0.2665544438167387,0.26422578963539345,0.26548289810931136,0.27914937083460584,0.286197654711196,0.559899766509959,0.5167970523020499,0.031338906882759164,0.3602893067406787,0.01965238089606989,0.31179095703702836,0.5447902489483017,6794772480
c01,contact_instrumented,0.6584013676406011,0.456063767069701,0.26854710139841975,0.12162330511880684,0.22036538016899837,0.22348552872152436,0.22885413920043202,0.5901316921487062,0.2568597693986492,0.10134817106940779,0.21017160596381057,0.24262814347421305,0.334634681512536,0.3579777336593773,6794772480
c01,data_scaled_foundation,0.515649278304178,0.15618148493509185,0.256614147847937,0.31925736367268676,0.264654187740021,0.27676919274759604,0.2785687511023363,0.5901316921487062,0.477529997430513,0.03276447880759009,0.36505479009595015,0.027409808660513596,0.3140858687005716,0.5648089252120361,6794772480
c01,embodiment_diverse_scaling,0.5816854866844264,0.29260711239814313,0.2496386469854324,0.2983490806784354,0.2518535010175561,0.26137690597585206,0.16030861365280105,0.5901316921487062,0.3914639140096882,0.059885700048990576,0.3043036837544506,0.11529830948721534,0.34491151862238106,0.4811561825649919,6794772480
c01,latency_safety_guarded,0.7201824911450794,0.590397877626524,0.265251289948768,0.2661601756750004,0.10184887437226682,0.07095375333717696,0.23949411188973735,0.5901316921487062,0.19344432640870665,0.12623846136125058,0.15316752733382086,0.3203773262462236,0.3396640690758794,0.2789714855347682,6794772480
c01,oracle_bottleneck_router,0.99896517156724,1.0,0.20565780608503265,0.019795820107832495,0.01048837571926655,0.0,0.007979676792281004,0.5901316921487062,0.0,0.20181130666668126,0.0,0.6656588957238175,0.4291422568533296,0.0,6794772480
c01,regime_aware_router,0.8850182896048066,0.8876567326577515,0.23005532439606943,0.11859313118972066,0.09435590119631565,0.060101669192817515,0.09487105590581613,0.5901316921487062,0.09484489225477331,0.1712832729477621,0.056011304434449835,0.5277878874439349,0.39084294164968103,0.12011034984628378,6794772480
c01,scale_only_foundation,0.5065291323339681,0.13025721082614308,0.268908365223613,0.3233273710762725,0.26565849703488376,0.28068260031456654,0.2863153507815387,0.5901316921487062,0.5447095703482168,0.025864378932433953,0.3805819426510299,0.02086165792161952,0.3084701624122778,0.5742142665342352,6794772480
c02,contact_instrumented,0.6568225381674015,0.45306810392664165,0.2688605265727075,0.137757221095056,0.22037541857743584,0.22382828385792328,0.2288698104591451,0.6152392436752753,0.2596711294800802,0.1020705310788765,0.21288954167317822,0.26384082525575225,0.33419251694791,0.36189554833797305,6794772480
c02,data_scaled_foundation,0.5016058819596737,0.1263339342465687,0.2585420036904476,0.3664996744692691,0.26476182327554093,0.2779293100345602,0.27866514389446106,0.6152392436752753,0.4979053481517748,0.02834137385754476,0.38173223012195884,0.028665186236841923,0.31136614607074353,0.5889071232434555,6794772480
c02,embodiment_diverse_scaling,0.5684218362661971,0.2645432610553244,0.25140458361308643,0.34459269854227415,0.25194157801245226,0.262477932322908,0.16039691048418545,0.6152392436752753,0.4094242688922062,0.05566037260696713,0.319597207743396,0.11853297201356987,0.34242022352491763,0.5032303904106675,6794772480
c02,latency_safety_guarded,0.7093310624440384,0.5678359319695564,0.2667352890702169,0.30607657772804575,0.10188944785438174,0.07183322834247256,0.23956831184581345,0.6152392436752753,0.20630800596069543,0.12210792391815314,0.1659565140768464,0.32702762814235115,0.337570517315291,0.29752147455289846,6794772480
c02,oracle_bottleneck_router,0.9993325992324257,1.0,0.20565780608503265,0.021378162556120097,0.01048837571926655,0.0,0.007979676792281004,0.6152392436752753,0.0,0.20181130666668126,0.0,0.6907664472503646,0.4291422568533296,0.0,6794772480
c02,regime_aware_router,0.8834225100316101,0.8845687078662803,0.23029618647787073,0.13587800151815219,0.09436721157994139,0.06046998736663633,0.09488309900990614,0.6152392436752753,0.09722262565536306,0.1711137003907866,0.057649244941148085,0.5499105152534296,0.3905031454677798,0.1231211258687947,6794772480
c02,scale_only_foundation,0.492415182649717,0.09980461064487248,0.27086350234932544,0.37056242779941,0.2658054815499557,0.28192127047917737,0.2864131076378235,0.6152392436752753,0.5678934871874413,0.02131516631998322,0.39743493467731145,0.02186595998268263,0.3057119527121836,0.5986534806056276,6794772480
